navnelbnr;cvrnr;pnr;region;brancheKode;branche;virksomhedstype;navn1;adresse1;postnr;By;seneste_kontrol;seneste_kontrol_dato;naestseneste_kontrol;naestseneste_kontrol_dato;tredjeseneste_kontrol;tredjeseneste_kontrol_dato;fjerdeseneste_kontrol;fjerdeseneste_kontrol_dato;URL;reklame_beskyttelse;Elite_Smiley;Kaedenavn;Geo_Lng;Geo_Lat;Pixibranche
80405;27025579.0;1009714207.0;;DD.56.10.99;Serveringsvirksomhed - Restauranter m.v.;Detail;Kværndrup Kro ;Bøjdenvejen  1  ;5772;Kværndrup;4.0;08-05-2025 00:00:00;1.0;30-03-2023 00:00:00;1.0;02-09-2021 00:00:00;1.0;21-05-2021 00:00:00;http://www.findsmiley.dk/da-DK/Searching/DetailsView.htm?virk=80405;0;0;;10.524232;55.178753;Restauranter, pizzeriaer, kantiner m.m.
950210;37417734.0;1021116013.0;;DD.56.10.99;Serveringsvirksomhed - Restauranter m.v.;Detail;Tranekær Slotskro ;Slotsgade 74  ;5953;Tranekær;4.0;18-09-2024 00:00:00;2.0;30-07-2024 00:00:00;1.0;02-07-2024 00:00:00;2.0;03-06-2024 00:00:00;http://www.findsmiley.dk/da-DK/Searching/DetailsView.htm?virk=950210;0;0;;10.852495;54.999109;Restauranter, pizzeriaer, kantiner m.m.
1477831;45066592.0;;;DD.56.10.99;Serveringsvirksomhed - Restauranter m.v.;Detail;Southern Food ;Møllevej 21  ;5471;Søndersø;4.0;08-05-2025 00:00:00;4.0;22-04-2025 00:00:00;;;;;http://www.findsmiley.dk/da-DK/Searching/DetailsView.htm?virk=1477831;0;0;;;;Restauranter, pizzeriaer, kantiner m.m.
